path,bytes,kb,extension,sha256,width,height,format,mode,error
static/images/shirt.jpg,489466,477.99,jpg,fa497758c59042d832a7720f43855fe22378c525e2919ff916f04743cb4b9a74,1024,683,PNG,RGB,
static/images/loginbg.jpg,234349,228.86,jpg,6135ca5b209ca475b8bfebf5d48dcca06e0ed6113ed1a45e18afdb1c3a37bc06,5000,2924,JPEG,RGB,
staticfiles/images/casual_shirts.jpg,172595,168.55,jpg,367b448eba42bc4c0569c1c0ec6ec0fe4ab579bf49dd2b4afd1e5a87b48a9f18,960,1200,JPEG,RGB,
staticfiles/images/lounge_wear.jpg,118396,115.62,jpg,70d3af7c9ddd0ab98e2db49c08dc7ab8f3092b08909abb18f7033e49d4812b61,960,1200,JPEG,RGB,
staticfiles/images/jackets.jpg,99023,96.7,jpg,52816275c8139812620ca987e3d22763c67ccde6d7a6be1b8588101ed2923b08,960,1200,JPEG,RGB,
staticfiles/images/sweatshirts.jpg,93706,91.51,jpg,42202822356d7c675075d183ba2bc991c1209766e4583a2cd385315c359fcad1,960,1200,JPEG,RGB,
static/images/sweatshirts.jpg,93706,91.51,jpg,42202822356d7c675075d183ba2bc991c1209766e4583a2cd385315c359fcad1,960,1200,JPEG,RGB,
staticfiles/images/logo1.dff6f0c10b34.png,90281,88.17,png,30d1ab505e2c231e389e62037b29f0c7eb52419b30c73d7f2944ba826f6efe4c,500,500,PNG,RGBA,
static/images/logo1.png,90281,88.17,png,30d1ab505e2c231e389e62037b29f0c7eb52419b30c73d7f2944ba826f6efe4c,500,500,PNG,RGBA,
staticfiles/images/joggers.jpg,87276,85.23,jpg,d3018583811d9a814920d21267963c5542991ad9585e727aacd1a2348fff26c1,960,1200,JPEG,RGB,
staticfiles/images/cargo_pants.jpg,84295,82.32,jpg,7c14a060a5ece7a906d6892e93958aa003d45dc928bbf88496468ba204deda5e,960,1200,JPEG,RGB,
staticfiles/images/tank_tops_vests.jpg,72587,70.89,jpg,c21dc9203b1ee73cc97bfb3de107b07654a19bdeef650302fc1deb0462db0ec7,960,1200,JPEG,RGB,
static/images/tank_tops_vests.jpg,72587,70.89,jpg,c21dc9203b1ee73cc97bfb3de107b07654a19bdeef650302fc1deb0462db0ec7,960,1200,JPEG,RGB,
staticfiles/images/track_pants.jpg,57947,56.59,jpg,f59987763b26acda76d1a46c58868654c08492b0743e252fd63a7d3eae512df1,960,1200,JPEG,RGB,
static/images/sweatshirts.webp,47118,46.01,webp,42994fc30422331e2d0db89225abb3d5d09724829e60cd7b9bc1f2ddb9bcbead,960,1200,WEBP,RGB,
static/images/tank_tops_vests.webp,32508,31.75,webp,1dd88bd3ebd436584cde66ff9a303644d25d371cc45ee7fe7dd381809bd391a6,960,1200,WEBP,RGB,
static/images/shirt.webp,29632,28.94,webp,a6dbf9c38bc49fb8e56ff160247b89ed6b0f7aa2c69a025030e4a11d00d7252a,1024,683,WEBP,RGB,
static/images/loginbg.webp,20144,19.67,webp,aa34188dc87affe21794f10040562d9fa53328db50730e5f96e6da8f0f87d63c,1600,936,WEBP,RGB,
static/images/allen-solly-formal-shirts.jpg,19676,19.21,jpg,0d3c90ea38c5f06732a4fcba598e85b999dcbf4c5156b443ed2d5c33aa5f8bcc,800,800,JPEG,RGB,
static/images/american-tourister-bags.jpg,19637,19.18,jpg,1c6670923980fcedf5fd38279f8706640849d412ad74e93d9ab19e57b19e81ca,800,800,JPEG,RGB,
static/images/allen-solly-polo-shirts.jpg,19189,18.74,jpg,ea92c841cb4949d957bee7b565d14c424505c530c2930b3155e0dabc7d7044cd,800,800,JPEG,RGB,
static/images/bags-accessories.jpg,18934,18.49,jpg,20770f1afae58362124a335473763cef088ac59c80cfa18a239f221c9da26d1d,800,800,JPEG,RGB,
static/images/polaroid-sunglasses.jpg,18812,18.37,jpg,b97b91b26b38e9ac803047350c5a41462fd3bb2cc3c643fd862433cc18a9243b,800,800,JPEG,RGB,
static/images/biba-kids-ethnic-wear.jpg,18449,18.02,jpg,b30f51e32b03b7e328305fa98b984b2363b830ae029a7a398fb4aaeac2343eed,800,800,JPEG,RGB,
static/images/allen-solly-blazers.jpg,18414,17.98,jpg,ed2112a7add07bc332d027e4c74d82eae5545edaf77a2e1919e58fcf94b890fa,800,800,JPEG,RGB,
static/images/idee-sunglasses.jpg,18100,17.68,jpg,0cfcf5b070c0461d59e4a9fb6fd7ba2e54d5f6a6107b60db692cc514b06f9ae6,800,800,JPEG,RGB,
static/images/fabindia-sherwanis.jpg,18077,17.65,jpg,dbed82e0769dc2a92e5209b30977b9f27df279bd2f3c31cbc94b592a346fcc1f,800,800,JPEG,RGB,
static/images/allen-solly-belts.jpg,17984,17.56,jpg,2a36aa75fa2ff5da7b289d1009c86263f9f865e5f4255443ef5c8078fc4ec00a,800,800,JPEG,RGB,
static/images/men-s-accessories.jpg,17924,17.5,jpg,7deadb9d505c77fbaa457646487a646775cb58d925be6302d4461fe1021559ca,800,800,JPEG,RGB,
static/images/fastrack-watches.jpg,17892,17.47,jpg,6f8f6b43abd79579f18a358a87ce11bffce64b12e7ae8724557789402d1127a5,800,800,JPEG,RGB,
static/images/baggit-wallets.jpg,17871,17.45,jpg,fd5945d411994cb8a836d7323ba681962f7f18d825476301c06ee367323f7144,800,800,JPEG,RGB,
static/images/adidas-sneakers.jpg,17674,17.26,jpg,c15e8cc58a805c464b08387596f14495e8d48ba861a5fdca90b7286cfc146e42,800,800,JPEG,RGB,
